respondent's year of birth,respondent's current age,age in 5-year groups,region,type of place of residence,source of drinking water,type of toilet facility,household has: electricity,household has: radio,household has: television,household has: bicycle,household has: motorcycle/scooter,household has: car/truck,main floor material,main wall material,main roof material,number of household members (listed),number of children 5 and under in household (de jure),educational attainment,relationship to household head,sex of household head,age of household head,literacy,type of cooking fuel,owns a mobile telephone,last 12 months use mobile telephone for financial transactions,is respondent's mobile phone a smart phone,has an account in a bank or other financial institution,use of internet,frequency of using internet last month,self reported health status,wealth index combined,years lived in place of residence,educational attainment head,frequency of listening to radio,frequency of watching television,age at first sex,husband/partner's occupation (grouped),respondent currently working,respondent's occupation (grouped),husband/partner's educational attainment,husband/partner's age,respondent worked in last 12 months,currently working,occupation (grouped),use mobile telephone for financial transactions,respondent education,how much paid in last month.1,income_group
1987.0,34.0,3,27,1,9,11,2,0,2,0,0,0,1,4,5,6.0,1.0,5,6,1,35.0,3,6,1,1,0,0,0,3,4,3,8,5,0,2,18.0,7,0,6,5,35.0,3,1,10,1,2,35000.0,3
1992.0,30.0,3,27,1,6,4,2,2,2,0,2,0,1,1,3,4.0,1.0,0,6,1,36.0,1,3,1,1,0,1,2,2,2,3,7,1,0,0,24.0,10,1,7,0,35.0,0,1,10,1,3,20000.0,2
1993.0,28.0,2,27,1,9,11,2,2,2,0,0,0,1,4,5,3.0,1.0,2,6,1,35.0,1,6,1,1,1,1,2,0,1,4,15,3,0,0,17.0,11,0,6,1,34.0,3,1,11,1,5,41000.0,4
1995.0,27.0,2,27,1,5,4,0,0,0,0,2,0,4,13,5,6.0,1.0,5,6,1,30.0,3,3,1,1,0,0,0,3,2,0,15,3,1,2,22.0,7,0,6,5,37.0,3,1,10,1,2,12000.0,1
1994.0,28.0,2,27,1,1,2,2,2,2,0,0,0,0,4,2,3.0,1.0,2,6,1,29.0,1,6,1,1,1,0,2,1,1,4,19,2,0,0,18.0,7,0,6,2,28.0,3,1,7,1,1,30000.0,3
1992.0,29.0,2,27,1,3,3,2,0,2,0,0,0,1,4,2,3.0,0.0,1,6,1,32.0,1,6,1,1,1,1,2,1,1,4,3,4,2,0,18.0,5,1,9,4,31.0,0,1,9,1,4,21000.0,2
1985.0,37.0,4,27,1,3,4,2,2,2,0,0,0,1,4,5,4.0,0.0,0,6,1,40.0,1,3,1,1,0,0,0,3,1,3,10,0,0,0,17.0,9,1,5,1,40.0,0,1,3,1,3,18000.0,1
1995.0,26.0,2,27,1,9,13,2,2,2,2,0,0,1,4,5,4.0,2.0,1,6,1,32.0,1,6,1,1,0,0,0,3,1,4,48,1,0,0,16.0,10,0,6,2,31.0,3,1,10,1,4,30000.0,3
1975.0,47.0,6,27,1,9,12,2,0,2,0,0,0,1,4,5,4.0,0.0,3,6,1,52.0,1,3,0,0,0,0,0,3,1,3,13,3,1,1,17.0,11,0,6,3,52.0,3,1,10,0,3,8000.0,0
1986.0,35.0,4,27,1,5,3,2,2,2,0,0,0,0,4,2,3.0,1.0,0,6,1,34.0,1,3,1,1,1,0,2,0,2,3,43,4,0,0,18.0,7,0,6,4,34.0,3,1,11,1,3,17000.0,1
1997.0,24.0,1,27,1,5,4,2,2,0,0,0,0,1,1,5,4.0,2.0,0,6,1,27.0,1,3,1,0,0,0,0,3,2,0,45,0,0,2,20.0,9,0,6,0,28.0,3,1,10,0,3,20000.0,2
1984.0,38.0,4,27,1,5,3,2,0,2,0,0,0,0,4,2,5.0,0.0,2,6,1,47.0,1,5,1,1,0,1,0,3,1,3,3,0,0,0,23.0,9,1,5,0,40.0,0,1,9,1,1,11500.0,1
1992.0,29.0,2,27,1,1,11,2,2,2,0,2,0,1,4,5,3.0,0.0,1,6,1,32.0,1,6,1,1,0,0,2,3,1,3,3,1,0,0,19.0,7,1,7,1,31.0,0,1,7,1,4,41000.0,4
1989.0,33.0,3,27,1,3,11,2,2,2,0,2,0,1,14,2,6.0,2.0,1,6,1,29.0,1,3,1,0,0,0,2,3,1,4,49,3,0,1,16.0,10,0,6,1,29.0,3,1,10,0,4,30000.0,3
1982.0,39.0,4,27,1,9,4,2,0,2,0,0,0,0,4,5,4.0,0.0,1,6,1,46.0,1,6,1,1,1,1,2,0,4,4,7,0,0,0,18.0,7,1,7,0,46.0,0,1,7,1,4,20000.0,2
1996.0,25.0,2,27,1,9,4,2,2,2,0,0,0,1,4,5,3.0,1.0,1,6,1,30.0,1,6,1,1,0,0,2,0,4,4,48,2,0,0,23.0,3,0,6,2,30.0,3,1,7,1,4,10000.0,1
1992.0,29.0,2,27,1,9,13,2,2,0,0,0,0,1,4,5,6.0,0.0,4,6,1,43.0,1,3,1,1,0,0,2,1,2,3,7,1,0,0,17.0,11,1,5,4,43.0,0,1,10,1,4,5000.0,0
1995.0,26.0,2,27,1,5,4,0,2,2,0,0,0,4,0,5,4.0,1.0,1,6,1,29.0,1,13,1,1,1,0,2,0,1,1,8,0,0,0,17.0,8,1,3,0,29.0,0,1,10,1,4,11000.0,1
1996.0,26.0,2,27,1,9,13,0,0,0,0,0,0,4,15,5,4.0,2.0,0,6,1,48.0,1,3,1,1,0,0,0,3,2,1,13,5,0,1,18.0,11,1,5,3,48.0,1,1,11,1,3,15000.0,1
1993.0,28.0,2,27,1,3,12,0,0,0,0,0,0,4,15,5,2.0,0.0,3,6,1,28.0,3,3,1,1,0,0,0,3,1,1,43,5,0,0,18.0,1,0,10,0,28.0,2,1,5,1,3,10000.0,1
1996.0,25.0,2,27,1,3,4,0,0,0,0,0,0,0,0,5,3.0,1.0,5,6,1,46.0,3,5,0,0,0,0,0,3,0,1,45,5,1,1,15.0,1,0,5,5,28.0,2,1,1,0,2,6000.0,0
1988.0,33.0,3,27,1,9,11,0,2,0,0,0,0,4,0,5,4.0,0.0,4,6,1,34.0,1,13,1,1,1,1,2,0,1,0,7,5,0,2,25.0,10,1,11,5,35.0,0,1,10,1,4,15000.0,1
1987.0,35.0,4,27,1,4,4,0,2,0,0,0,0,0,15,5,3.0,1.0,1,6,1,39.0,1,5,1,1,0,0,0,3,1,0,13,1,0,1,17.0,7,1,7,1,39.0,0,1,7,1,4,20000.0,2
1987.0,35.0,4,27,1,12,4,2,2,2,0,0,0,0,14,5,4.0,1.0,0,6,1,41.0,1,6,1,1,0,1,0,3,4,4,2,0,0,0,22.0,7,1,7,0,40.0,0,1,10,1,3,16000.0,1
1989.0,32.0,3,27,1,12,4,2,2,2,0,0,0,0,14,5,4.0,0.0,1,6,1,35.0,1,3,1,1,1,1,2,0,4,4,8,1,0,0,15.0,9,1,11,1,35.0,0,1,11,1,4,10000.0,1
1974.0,48.0,6,27,1,9,4,2,2,2,0,0,0,0,5,5,5.0,0.0,2,6,1,48.0,1,6,1,1,1,1,2,0,1,4,13,1,2,0,15.0,8,1,7,2,50.0,0,1,8,1,1,20000.0,2
1988.0,33.0,3,27,1,9,13,2,2,2,0,0,0,1,4,5,7.0,2.0,3,6,1,43.0,1,3,1,1,0,0,0,3,1,4,24,0,0,0,19.0,10,0,6,0,42.0,3,1,10,1,3,41000.0,4
1992.0,30.0,3,27,1,5,11,0,0,0,0,0,0,1,4,5,2.0,0.0,5,6,1,40.0,3,5,0,0,0,0,0,3,0,0,19,4,0,2,17.0,11,0,5,1,40.0,2,1,7,0,2,15600.0,1
1996.0,26.0,2,27,1,3,4,2,0,0,2,0,0,1,1,5,3.0,0.0,1,6,1,29.0,1,8,1,1,0,1,2,1,1,3,49,2,2,0,19.0,5,0,6,1,29.0,3,0,9,1,4,24000.0,2
1993.0,29.0,2,27,1,3,4,2,0,2,0,0,0,2,4,5,5.0,1.0,4,6,1,34.0,1,6,1,1,1,0,2,0,2,4,8,1,0,0,16.0,3,0,6,1,32.0,3,1,3,1,4,12000.0,1
1994.0,28.0,2,27,1,9,11,0,2,0,0,0,0,1,15,5,3.0,1.0,0,6,1,38.0,1,3,1,1,0,0,2,2,2,1,10,0,0,1,21.0,11,0,6,3,38.0,3,1,8,1,3,18000.0,1
1991.0,30.0,3,27,1,3,11,2,2,2,0,0,0,1,15,5,6.0,2.0,0,6,1,35.0,1,3,1,1,0,0,0,3,1,3,49,2,0,0,23.0,11,1,11,1,35.0,0,1,8,1,3,13000.0,1
1997.0,24.0,1,27,1,3,4,0,0,0,0,2,0,4,0,12,5.0,2.0,3,6,1,27.0,1,13,1,1,0,0,0,3,1,2,49,0,2,2,18.0,10,0,6,0,27.0,3,1,10,1,3,12000.0,1
1981.0,40.0,5,27,1,3,2,2,0,2,2,0,2,2,4,3,9.0,0.0,2,6,1,38.0,1,6,1,1,1,1,2,0,1,4,49,2,1,0,13.0,7,1,7,2,38.0,0,1,7,1,1,41000.0,4
1991.0,30.0,3,27,1,3,4,2,2,2,2,2,0,1,1,5,6.0,2.0,3,6,1,37.0,1,3,1,1,1,0,0,3,2,3,49,0,1,0,15.0,10,0,6,0,37.0,3,1,10,1,3,5000.0,0
1990.0,31.0,3,27,1,3,2,2,2,2,0,0,0,2,4,3,4.0,2.0,2,6,1,33.0,1,6,1,1,0,1,2,0,1,4,43,2,1,1,16.0,7,1,7,2,33.0,0,1,7,1,1,30000.0,3
1998.0,23.0,1,27,1,3,11,2,2,2,2,0,0,1,5,5,4.0,2.0,4,6,1,29.0,1,3,1,1,1,0,2,0,2,3,49,2,2,1,19.0,6,0,6,2,29.0,3,1,1,1,4,2100.0,0
1983.0,38.0,4,27,1,4,4,2,2,2,2,0,2,2,4,5,4.0,0.0,2,6,1,41.0,1,6,1,1,1,0,2,0,2,4,49,2,2,0,12.0,5,1,7,2,41.0,0,1,7,1,1,41000.0,4
1993.0,28.0,2,27,1,3,4,2,2,0,0,0,0,1,15,5,4.0,1.0,3,6,1,40.0,3,13,0,0,0,0,0,3,1,0,49,5,0,2,20.0,1,0,6,3,40.0,3,1,1,0,3,9000.0,0
1983.0,38.0,4,27,1,5,4,2,2,2,0,0,0,2,1,7,6.0,0.0,1,6,1,42.0,1,3,1,1,1,1,2,0,2,4,18,1,0,0,18.0,9,1,7,1,42.0,1,1,7,1,4,20000.0,2
1975.0,46.0,6,27,1,3,11,2,2,2,0,0,0,4,15,5,5.0,0.0,0,6,1,49.0,1,13,1,1,0,0,0,3,0,0,14,3,1,1,18.0,4,0,6,3,49.0,3,1,9,1,3,15000.0,1
1997.0,24.0,1,27,1,3,4,2,2,0,0,2,0,1,15,5,3.0,1.0,0,6,1,28.0,0,13,1,1,0,0,0,3,1,3,49,0,1,0,15.0,10,0,6,0,29.0,3,1,10,1,3,6000.0,0
1983.0,38.0,4,27,1,3,11,2,2,0,0,0,0,4,0,5,6.0,1.0,3,6,1,50.0,3,13,0,0,0,0,0,3,1,1,25,0,0,2,18.0,6,1,1,0,50.0,0,1,9,0,3,12000.0,1
1991.0,31.0,3,27,1,5,11,2,2,2,0,0,0,4,15,5,4.0,1.0,3,6,1,36.0,3,3,1,1,0,0,0,3,2,3,45,1,1,1,18.0,11,0,6,1,38.0,3,1,10,1,3,12000.0,1
1990.0,32.0,3,27,1,5,11,2,2,0,0,0,0,1,1,5,6.0,0.0,5,6,1,33.0,3,13,1,1,0,0,0,3,2,3,49,0,0,0,18.0,11,0,6,0,32.0,3,1,4,1,2,35000.0,3
1989.0,33.0,3,27,1,3,3,2,2,0,0,0,0,1,14,5,4.0,2.0,4,6,1,35.0,1,5,1,1,0,0,0,3,1,3,13,0,2,2,24.0,11,0,6,0,35.0,3,1,5,1,4,6000.0,0
1995.0,26.0,2,27,1,5,11,2,0,0,2,0,0,1,4,5,3.0,1.0,2,6,1,29.0,1,3,1,1,0,0,0,3,4,3,45,1,0,0,20.0,9,1,7,1,28.0,0,1,5,1,1,9800.0,0
2002.0,19.0,0,27,1,9,4,2,2,0,0,0,0,1,14,5,3.0,1.0,3,6,1,26.0,1,6,1,1,1,0,2,1,4,3,12,0,0,0,18.0,11,0,6,0,25.0,3,1,10,1,3,24000.0,2
1990.0,31.0,3,27,1,3,13,2,2,2,0,0,0,0,1,5,4.0,2.0,0,6,1,32.0,3,5,0,0,0,0,0,3,2,3,2,0,1,1,16.0,10,0,6,0,31.0,3,1,10,0,3,12000.0,1
1982.0,39.0,4,27,1,9,3,2,2,2,0,0,0,2,4,5,9.0,1.0,3,6,1,50.0,1,6,1,1,0,0,0,3,1,4,19,1,0,1,20.0,11,0,6,1,50.0,3,1,3,1,3,40000.0,4
1983.0,38.0,4,27,1,9,11,2,2,2,2,0,0,0,4,5,6.0,0.0,5,6,1,35.0,3,5,1,0,0,0,0,3,1,3,15,5,0,1,19.0,11,1,11,5,34.0,0,1,11,0,2,6000.0,0
1999.0,22.0,1,27,1,5,12,0,0,0,0,0,0,4,15,5,4.0,2.0,0,6,1,36.0,1,13,0,0,0,0,0,3,1,2,47,3,2,2,25.0,11,0,6,3,36.0,3,1,10,0,3,6000.0,0
1972.0,49.0,6,27,1,0,3,2,2,2,0,0,2,2,4,7,4.0,0.0,2,6,1,50.0,1,6,1,1,1,1,2,0,1,4,15,2,1,0,20.0,7,0,6,2,50.0,3,1,7,1,1,30000.0,3
1993.0,28.0,2,27,1,5,11,0,0,0,0,0,0,4,8,5,5.0,1.0,5,6,1,32.0,3,3,1,1,0,0,0,3,1,1,14,5,0,1,15.0,1,1,5,5,31.0,0,1,11,1,2,12000.0,1
1981.0,40.0,5,27,1,6,4,2,2,2,2,0,0,1,1,5,5.0,1.0,2,6,1,37.0,1,6,1,1,1,0,2,0,1,4,2,2,0,0,12.0,7,1,7,2,39.0,0,1,7,1,1,10000.0,1
1983.0,38.0,4,27,1,5,11,2,2,0,0,0,0,4,15,5,6.0,0.0,5,6,1,45.0,3,13,1,0,1,0,0,3,4,0,49,0,1,0,27.5,10,0,6,3,44.0,3,1,10,0,2,22000.0,2
1990.0,31.0,3,27,1,6,3,2,2,0,0,0,0,1,1,5,5.0,0.0,0,6,1,34.0,1,5,1,1,1,0,1,3,1,3,6,0,0,0,13.0,10,0,6,0,34.0,3,1,10,1,3,12000.0,1
1994.0,27.0,2,27,1,3,3,2,2,0,0,0,0,0,5,5,3.0,1.0,1,6,1,28.0,1,3,1,1,1,0,2,0,1,3,43,2,0,2,17.0,7,1,9,1,28.0,0,1,11,1,4,18000.0,1
1996.0,25.0,2,27,1,6,3,2,0,2,2,2,0,4,1,5,5.0,2.0,0,6,1,28.0,1,5,1,1,1,0,2,0,4,3,2,1,0,0,20.0,7,1,9,1,28.0,0,1,7,1,3,4000.0,0
1992.0,29.0,2,27,1,4,4,2,2,2,0,0,0,2,4,5,3.0,1.0,3,6,1,35.0,1,6,0,1,0,0,2,1,1,4,49,2,0,0,15.0,4,1,7,2,35.0,0,1,11,1,3,21000.0,2
